audio-00001.wav|Солодких сні в місці спав. Колекція морських вузлів містра Крапса. Ого, ці нитучки тут не має бути.
audio-00002.wav|недоумковатий равлик не зрівняється з вищим губчастим мозком.
audio-00003.wav|Але це класна ідея, Сквідварде! Ражай, що ти ставиш Красьні Крабз на перше місце!
audio-00004.wav|Не хвилюйтеся, я навчив його всього, що знав сам.
audio-00005.wav|Але, містер Акрапс, ми зі Сквідвардом ще не напрацювалися. Правда, Сквідварде?
audio-00006.wav|Я в них новшикарні штани!
audio-00007.wav|Почнімо, вдихнемо, літаю цього краба!
audio-00008.wav|Вибачте, мистер Крабс і мистер Спав, насолоджуйтесь побаченням!
audio-00009.wav|У коробці привить! На сходах привить! У цьому смітті привить!
audio-00010.wav|Отже, коли ви прийдете наступного разу.
audio-00011.wav|Вітсь, Квітварде! Бачу, ти граєш з морськими монстрами. Як тобі мій бульбашковий зоопарк?
audio-00012.wav|Ти точно не дзвонив горішку? Алло? Алло? Поганий сигнал. Жодного горішка.
audio-00013.wav|Я ніяк не можу перестати гристи ніфті!
audio-00014.wav|Вибач, що так вийшло, Чамі. Можете і на Містер Крабс, але ми можемо бути друзями.
audio-00015.wav|Що це за місце? І чому ви тут?
audio-00016.wav|Патріку, я не можу відучитись гристи ніхті!
audio-00017.wav|Мм, Патрику, саме так, я й уявляв рукавичну в'язненню!
audio-00018.wav|Стій! Зачекай малі! Поправся!
audio-00019.wav|Прошу вас, війде! Ви зіпсуйте враження про красній граф!
audio-00020.wav|Що ж, якщо Патрік краще, як Сквідвард, ти міг би бути краще, як Патрік.
audio-00021.wav|Ну, що, ви які? Готуйтеся до бою!
audio-00022.wav|Луї! О, де ти сховався! Хороший Раблочок! Луї! Ні, ні, ні!
audio-00023.wav|Це не так! Я знаю високу кухню! Я якось зробив краб з бургер з трьома булочками.
audio-00024.wav|А коли він приходить до цьами, то майже нічого не пам'ятає. Дружа, тобі вже краще? Розкажи, що ти пам'ятаєш.
audio-00025.wav|Але як же Крабсбургер!
audio-00026.wav|Ах, хвани! Мої схимочки!
audio-00027.wav|Не хвилюйтеся, мистер Крабс, я наступлю ноглою у вашу спальню.
audio-00028.wav|Зазарну про всякий випадок Ооо, яка гарненька Ооо, о північний карагаб
audio-00029.wav|І лови квілю!
audio-00030.wav|Так, мистер Краб зуперет! І забудьте про кліп! Ніж до помиї! Тільки помиї!
audio-00031.wav|Патріку це був лише робот. Хух, а я подумав, що ми у халепі.
audio-00032.wav|Мистер Крабс! Що з вами? Охо, розмовляйте земною!
audio-00033.wav|Так довірце мені. О, як! А твої подушки набиті жаками, а футболка в тебе напиворить!
audio-00034.wav|Хіба двері були причинені? А що, як грабіжник там?
audio-00035.wav|Патріку, просто заспокойся, глибоко вдихни і віддай мені голову!
audio-00036.wav|Я ще зцілийся. Ура! Дякую, Лікарю!
audio-00037.wav|Я друге краб з бургером почастую, бо завжди ним він власо так смакує. Це тобі, Патріку.
audio-00038.wav|Отже, прийшов час активних дій! Я маю допомогти другу! Я змушу замовкнути кожен звіночок у цьому місті! Починаємо!
audio-00039.wav|Ну от, я здумав. Застосуємо жорсткі методи.
audio-00040.wav|Та любить Аешню? Жах! Зрозумів!
audio-00041.wav|Мистер Крапс, визову насу!
audio-00042.wav|Я збирався запитати те саме!
audio-00043.wav|Доброго дня, мистець Павл. Мистець Крапс просив допомогти з безкоштовною вечерю.
audio-00044.wav|Ооо, отже в чомусь. Я нічого генький, так?
audio-00045.wav|Домовились, мистер Крапс. Мірос на замок!
audio-00046.wav|Оооо! Отразу видно, тискіка чогось круто! З грілами порися!
audio-00047.wav|Я заберу її з квідварде. Дай мені, ти маєш обійняти мене?
audio-00048.wav|Я вимкну тривогу. Годі порушити закону!
audio-00049.wav|Парашути міхури. Ось вона! Три смертельні випробування!
audio-00050.wav|Ти теж, але попри все й досі симпатичний.
audio-00051.wav|Слухаюся, мистер Ослабс, більше не буду мистер Ослабс, вибачте!
audio-00052.wav|Привіток! Що таке, Манюня робить у тюрмі?
audio-00053.wav|Йй, а де план ктуан?
audio-00054.wav|Ти правий! Я навіть не думаю про те, щоб гристи. Ніхтє!
audio-00055.wav|Так, я краб з бургеромет! Немає за що! Немає? Вони скінчилися! Отже, треба зробити ще!
audio-00056.wav|Сквідвард, это правий! Адже мистер Краб зрос станув тільки в середині!
audio-00057.wav|Його можна перемогти лише любов'ю.
audio-00058.wav|Класно, що ти без кисток, дружа! Хто із хочів листів Ді Містер Крапса?
audio-00059.wav|Ти був правий руб, це було прекрасно!
audio-00060.wav|Що польця воляти? Сосід, губ, кабаб
audio-00061.wav|О, вибач, Планктоне, ти прийшов по допомогу, а я підвів тебе!
audio-00062.wav|Підходьте і подивіться на наших тварин!
audio-00063.wav|Ху-ху, містер Слаб, ви ж знаєте, що я не можу подати Слабсбургер, поки він не приготовлений як треба?
audio-00064.wav|А дже, ваш крабсбургер отимний ченезнайомка.
audio-00065.wav|Вивийся! Це друг сенди французи! Ви-ві-ві!
audio-00066.wav|Прощавай безводний світ! Я тебе не забуду!
audio-00067.wav|У моєї подруги Сені є таке. Це називається дерева.
audio-00068.wav|Ну то вперед! Дивіться. Ваші серветки, сааар!
audio-00069.wav|Ніякий ти не мистер Краб. Мистер Краб знаважливі зустрічі і сказав не відчиняти двері нікому.
audio-00070.wav|Ваше замовлення, шановний. Місію виконано. Краще пізно ніж ніколи.
